id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
49788660,The white room,246967920,Suraia,,Southmead,51.49935,-2.61461,Private room,40,1,2,2021-07-01,1.50,1,150
49805761,Self contained flat at Temple Meads train station,42007723,Davin,,Central,51.44878,-2.58537,Entire home/apt,100,1,2,2021-07-04,1.46,1,40
49811481,Clifton Townhouse,45843611,Frances And James,,Clifton,51.45209,-2.61216,Entire home/apt,100,3,0,,,1,3
49831633,The art room,7042630,Dana,,St George West,51.46152,-2.53957,Private room,25,3,2,2021-06-25,1.50,2,103
49836448,St. George Maisonette,7042630,Dana,,St George Central,51.46107,-2.53911,Entire home/apt,50,2,2,2021-06-21,1.76,2,6
49836641,Modern One bed nr St Georges Park,90684209,Neil,,St George West,51.45889,-2.55061,Entire home/apt,74,2,3,2021-06-10,2.73,9,344
49857898,Harbour hideout,84985138,Andrew,,Clifton,51.45039,-2.61472,Entire home/apt,100,7,0,,,1,148
49868981,The Broadmead Forest - Spacious 3BDR Apartment,59436467,Gregg,,Central,51.45439,-2.5908,Entire home/apt,98,1,1,2021-07-01,1,2,12
49868989,The Broadmead Jungle - Lovely 3BDR Apartment,59436467,Gregg,,Central,51.4575,-2.5918,Entire home/apt,100,1,1,2021-06-10,0.81,2,0
49895559,2 Bedroom Apartment in The Old Shoe Factory,65192629,Hopewell,,Ashley,51.45941,-2.58684,Entire home/apt,120,1,1,2021-06-27,1,122,118
49900391,Bright King Room In Bristol,383281375,Shelly,,Westbury-on-Trym & Henleaze,51.49101,-2.61834,Private room,606,1,0,,,12,45
49900443,Standard Double Room In Bristol,383281375,Shelly,,Westbury-on-Trym & Henleaze,51.48895,-2.61706,Private room,594,1,0,,,12,45
49900461,Bright Standard Double Room In Bristol,383281375,Shelly,,Westbury-on-Trym & Henleaze,51.49098,-2.61656,Private room,594,1,0,,,12,45
49900472,Superior Double Room In Bristol,383281375,Shelly,,Westbury-on-Trym & Henleaze,51.48963,-2.61644,Private room,594,1,0,,,12,45
49900480,Bright Superior Double Room In Bristol,383281375,Shelly,,Westbury-on-Trym & Henleaze,51.48884,-2.61801,Private room,594,1,0,,,12,45
49900499,Lovely Superior King Room In Bristol,383281375,Shelly,,Westbury-on-Trym & Henleaze,51.48916,-2.61844,Private room,606,1,0,,,12,45
49902053,Beautiful Deluxe Family Room In Bristol,383281375,Shelly,,Southville,51.44553,-2.60474,Private room,674,1,0,,,12,44
49902066,Awesome Double Room With Private Bathroom In Bristol,383281375,Shelly,,Southville,51.44634,-2.60486,Private room,619,1,0,,,12,44
49902088,Stylish Family Room With Private Bathroom In Bristol,383281375,Shelly,,Southville,51.44642,-2.6057,Private room,662,1,0,,,12,44
49902128,Stylish Single Room with Shared Bathroom In Bristol,383281375,Shelly,,Hotwells & Harbourside,51.44691,-2.60563,Private room,561,1,0,,,12,44
49902144,Amazing Triple Room with Shared Bathroom In Bristol,383281375,Shelly,,Hotwells & Harbourside,51.44693,-2.60408,Private room,662,1,0,,,12,44
49902165,Appealing Twin Room with Shared Bathroom In Bristol,383281375,Shelly,,Southville,51.44515,-2.60559,Private room,601,1,0,,,12,44
49918832,Your Apartment Thorndale #3,125651447,Your Apartment,,Clifton Down,51.46252,-2.61379,Entire home/apt,258,1,1,2021-06-30,1,75,314
49924179,Cozy 1 Bed Studio Flat - Corn St Bristol,224558961,Ralph,,Central,51.45448,-2.59502,Entire home/apt,89,2,3,2021-06-27,1.91,1,121
49941239,Student Only Property: Fashioned Bronze Studio - LOS 12 months v20,226804666,,,Central,51.45746,-2.59312,Entire home/apt,59,357,0,,,50,358
49941251,Student Only Property: Functional Gold Studio - LOS 12 months v20,226804666,,,Central,51.45576,-2.59228,Entire home/apt,62,357,0,,,50,358
49941266,Student Only Property: Majestic Gold Studio - LOS 51 weeks,226804666,,,Central,51.45726,-2.59357,Entire home/apt,52,1,0,,,50,358
49941281,Student Only Property: Unique Bronze Studio - LOS 51 weeks,226804666,,,Central,51.45733,-2.5937,Entire home/apt,50,1,0,,,50,358
49941292,Student Only Property: Delightful Silver Studio - LOS 12 months v20,226804666,,,Central,51.45602,-2.59371,Entire home/apt,60,357,0,,,50,358
49941309,Student Only Property: Adorable Silver Studio - LOS 51 weeks,226804666,,,Central,51.45618,-2.59366,Entire home/apt,50,1,0,,,50,358
49943228,Student Only Property: Cozy Bronze Studio - LOS 51 weeks v20,226804666,,,Central,51.45634,-2.59278,Entire home/apt,59,357,0,,,50,358
49943237,Student Only Property: Fashioned Gold Studio - LOS 51 weeks v20,226804666,,,Central,51.45727,-2.59289,Entire home/apt,62,357,0,,,50,358
49943251,Student Only Property: Functional Silver Studio - LOS 51 weeks v20,226804666,,,Central,51.45688,-2.59232,Entire home/apt,60,357,0,,,50,358
49943659,Student Only Property: Cosy Gold Studio - LOS 12 months v20,226804666,,,Central,51.45619,-2.59425,Entire home/apt,62,365,0,,,50,358
